eventId,year,instId
STYau,2022,ASHK
IEF,2022,ASRJC
IEF,2023,ASRJC
NSTS,2023,ASTAR
SSEF,2021,ASTAR
SSEF,2022,ASTAR
SSEF,2023,ASTAR
isyfDigital,2021,HCI
isyfDigital,2022,HCI
GYSTB,2021,HKFYG
Globecom,2023,IEEE
NSTS,2023,IEEE
PRDC,2023,IEEE
IRC-SET,2021,IRC
ISSF,2023,IRC
NSTS,2023,SCS
SSEF,2021,SCS
SSEF,2022,SCS
SSEF,2023,SCS
